Year,Month,CPI
1982,,10.9
1983,,10.0
1984,,8.6
1985,,3.5
1986,,3.8
1987,,5.7
1988,,7.8
1989,,10.3
1990,,10.2
1991,,11.6
1992,,9.6
1993,,8.8
1994,,8.8
1995,,9.1
1996,,6.3
1997,,5.8
1998,,2.8
1999,,-4.0
2000,,-3.8
2001,,-1.6
2002,,-3.0
2003,,-2.6
2004,,-0.4
2005,,1.0
2006,,2.0
2007,,2.0
2008,,4.3
2009,,0.5
2010,,2.4
2011,,5.3
2012,,4.1
2013,,4.3
2014,,4.4
2015,,3.0
2016,,2.4
2017,,1.5
2018,,2.4
2019,,2.9
2020,,0.3
2021,,1.6
2022,,1.9
2023,,2.1
1982,Jan,13.8
1982,Feb,12.7
1982,Mar,11.4
1982,Apr,11.4
1982,May,12.0
1982,Jun,11.6
1982,Jul,10.5
1982,Aug,9.8
1982,Sep,9.9
1982,Oct,8.9
1982,Nov,9.4
1982,Dec,10.2
1983,Jan,7.8
1983,Feb,9.5
1983,Mar,10.8
1983,Apr,11.3
1983,May,8.7
1983,Jun,9.1
1983,Jul,8.8
1983,Aug,8.7
1983,Sep,10.4
1983,Oct,12.0
1983,Nov,11.3
1983,Dec,10.9
1984,Jan,12.5
1984,Feb,10.9
1984,Mar,9.4
1984,Apr,9.3
1984,May,10.2
1984,Jun,9.9
1984,Jul,9.6
1984,Aug,9.4
1984,Sep,7.8
1984,Oct,4.7
1984,Nov,5.1
1984,Dec,5.3
1985,Jan,4.2
1985,Feb,3.5
1985,Mar,4.4
1985,Apr,4.1
1985,May,3.5
1985,Jun,3.1
1985,Jul,3.0
1985,Aug,2.9
1985,Sep,3.8
1985,Oct,3.4
1985,Nov,3.2
1985,Dec,3.1
1986,Jan,3.2
1986,Feb,3.9
1986,Mar,3.1
1986,Apr,3.1
1986,May,3.5
1986,Jun,3.9
1986,Jul,4.3
1986,Aug,3.9
1986,Sep,3.0
1986,Oct,4.3
1986,Nov,4.7
1986,Dec,4.6
1987,Jan,4.8
1987,Feb,4.3
1987,Mar,4.7
1987,Apr,5.2
1987,May,5.6
1987,Jun,5.9
1987,Jul,5.1
1987,Aug,6.3
1987,Sep,6.1
1987,Oct,6.4
1987,Nov,6.3
1987,Dec,7.4
1988,Jan,6.6
1988,Feb,7.2
1988,Mar,7.3
