date,mktrf,smb,hml,rmw,cma,rf,umd
02/01/2018,0.008500,0.003000,-0.002100,-0.004900,0.003200,0.00006,-0.006400
03/01/2018,0.005900,-0.004700,-0.001900,-0.007000,-0.000600,0.00006,0.002200
04/01/2018,0.004200,-0.002200,0.002500,-0.000100,0.003100,0.00006,-0.002000
05/01/2018,0.006600,-0.003700,-0.002500,0.003700,-0.003700,0.00006,0.006000
08/01/2018,0.001900,-0.001900,0.000400,-0.000700,0.000100,0.00006,0.001500
09/01/2018,0.001500,-0.003900,-0.000400,-0.001200,0.000300,0.00006,0.005100
10/01/2018,-0.000700,0.001300,0.005600,-0.003200,0.000200,0.00006,-0.002000
11/01/2018,0.008700,0.011200,0.003000,-0.002100,0.005800,0.00006,-0.002900
12/01/2018,0.006600,-0.003300,0.001600,-0.001000,0.001800,0.00006,0.000000
16/01/2018,-0.004900,-0.009900,0.000100,0.004400,-0.004000,0.00006,-0.001800
17/01/2018,0.009500,-0.000500,-0.001000,-0.000900,-0.000900,0.00006,0.009900
18/01/2018,-0.001800,-0.004300,-0.002500,0.002900,-0.003800,0.00006,0.004300
19/01/2018,0.005700,0.009300,-0.000500,0.000700,0.001100,0.00006,0.005600
22/01/2018,0.007700,-0.003500,-0.001600,-0.005400,0.002200,0.00006,-0.003100
23/01/2018,0.002200,0.000700,-0.003600,-0.003800,-0.002600,0.00006,0.000200
24/01/2018,-0.001300,-0.007500,0.004400,-0.000100,0.001000,0.00006,-0.001900
25/01/2018,0.000700,0.001100,-0.005400,0.001900,-0.001900,0.00006,0.006300
26/01/2018,0.011100,-0.006100,-0.005100,0.002900,-0.001600,0.00006,0.005900
29/01/2018,-0.006200,-0.000200,-0.002800,0.001600,-0.004000,0.00006,-0.001200
30/01/2018,-0.010600,0.001200,-0.002100,0.003800,-0.004200,0.00006,0.003200
31/01/2018,-0.000700,-0.006700,0.001100,0.001000,-0.000300,0.00006,0.002900
01/02/2018,0.000300,0.001200,0.005300,-0.005300,0.000000,0.00006,-0.001800
02/02/2018,-0.021300,0.000100,-0.002900,0.006100,-0.005100,0.00006,0.001500
05/02/2018,-0.040300,0.006500,-0.005800,0.001700,-0.000800,0.00006,-0.002300
06/02/2018,0.016700,-0.004800,-0.001800,0.000500,-0.000200,0.00006,0.007700
07/02/2018,-0.003800,0.006000,0.002000,0.003400,0.002200,0.00006,0.001500
08/02/2018,-0.036800,0.008000,0.005100,0.004000,-0.000400,0.00006,-0.011500
09/02/2018,0.013600,-0.005500,0.001500,0.001700,-0.003200,0.00006,0.005800
12/02/2018,0.013600,-0.004700,-0.003000,-0.002300,-0.000900,0.00006,0.005200
13/02/2018,0.003100,0.001300,-0.002400,0.002100,-0.001000,0.00006,0.006200
14/02/2018,0.015200,0.002800,0.004800,-0.006600,-0.000400,0.00006,0.002100
15/02/2018,0.012100,-0.001700,-0.006300,0.002000,-0.003400,0.00006,0.002900
16/02/2018,0.000300,0.003700,0.001600,0.000300,0.000500,0.00006,-0.001600
20/02/2018,-0.006200,-0.003500,-0.002400,-0.002600,-0.001400,0.00006,0.003000
21/02/2018,-0.004300,0.008000,0.002300,0.000700,-0.001900,0.00006,0.007900
22/02/2018,0.000100,-0.000500,-0.004100,0.001400,0.004800,0.00006,0.001900
23/02/2018,0.015400,-0.003800,-0.001500,-0.001700,-0.000700,0.00006,0.000400
26/02/2018,0.011200,-0.004800,-0.000700,-0.001600,-0.002300,0.00006,0.001100
27/02/2018,-0.012500,-0.001900,0.000300,-0.000900,-0.000600,0.00006,0.002600
28/02/2018,-0.011000,-0.004400,-0.003200,0.002100,-0.002700,0.00006,0.005200
01/03/2018,-0.011900,0.009700,-0.000200,-0.002400,0.000600,0.00005,-0.008200
02/03/2018,0.007000,0.011100,-0.004900,-0.004100,-0.003400,0.00005,-0.001800
05/03/2018,0.010600,-0.004100,0.002300,-0.005900,0.000900,0.00005,-0.004100
06/03/2018,0.003600,0.006900,0.001200,0.002200,-0.000200,0.00005,0.003800
07/03/2018,0.000500,0.007500,-0.004400,-0.000400,-0.003100,0.00005,0.007900
08/03/2018,0.003700,-0.005800,-0.003600,0.000100,-0.001800,0.00005,-0.001000
09/03/2018,0.017000,-0.002000,0.002800,-0.002500,0.000100,0.00005,0.006300
12/03/2018,-0.000900,0.004400,-0.000800,-0.003400,-0.002300,0.00005,-0.005300
13/03/2018,-0.006700,0.001000,0.000300,0.004800,0.000000,0.00005,-0.000600
14/03/2018,-0.005300,0.001500,-0.005700,-0.001100,-0.003900,0.00005,0.003300
15/03/2018,-0.001800,-0.003900,0.003100,0.001400,-0.001200,0.00005,0.002700
16/03/2018,0.002500,0.004700,0.001700,0.000600,0.002800,0.00005,-0.004400
19/03/2018,-0.013800,0.004100,0.004100,0.003200,0.001000,0.00005,0.004500
20/03/2018,0.001500,-0.001300,-0.003600,-0.000200,-0.000700,0.00005,0.012900
21/03/2018,-0.000600,0.006800,0.004400,-0.010800,0.008700,0.00005,-0.003000
22/03/2018,-0.025400,0.004000,-0.004900,0.002100,0.000100,0.00005,-0.009700
23/03/2018,-0.020900,0.000900,-0.002300,0.001300,0.007700,0.00005,-0.003300
26/03/2018,0.026700,-0.006200,0.000300,0.000000,-0.006100,0.00005,0.013000
27/03/2018,-0.018700,-0.002200,0.003700,0.007800,0.005400,0.00005,-0.018300
28/03/2018,-0.003500,0.002000,0.006400,0.007500,-0.000900,0.00005,-0.011900
29/03/2018,0.014100,-0.003100,-0.002200,-0.003700,-0.001600,0.00005,0.006000
02/04/2018,-0.022900,-0.000800,0.003700,0.001600,-0.000600,0.00007,-0.001700
03/04/2018,0.012400,-0.000200,0.001900,0.002500,0.001800,0.00007,-0.001600
04/04/2018,0.011700,0.003400,-0.003100,0.000600,-0.001300,0.00007,0.000800
05/04/2018,0.007500,0.000500,0.004700,0.001100,0.002800,0.00007,-0.003800
06/04/2018,-0.021900,0.003700,-0.000600,0.001300,-0.000500,0.00007,-0.005900
